transaction_id,date,customer_name,email,region,product_name,category,quantity,discount_applied,final_amount
fefac198-c3d6-4d54-8623-bc7465a29cc8,2024-09-23 15:41:48.000000,Kimberly Edwards,jamesweber@example.com,Asia,Decentralized grid-enabled service-desk,Electronics,3,0.3,765.95
27c00f89-9e3b-41b3-8330-125c1a9b0d42,2024-09-24 11:27:28.000000,Kimberly Mclean,ystephens@example.com,Asia,Optimized mission-critical moratorium,Home & Garden,7,0.2,1507.32
63ccf604-e2ae-4f87-ae7c-a782a7a31d25,2025-03-18 06:52:08.000000,Amber Glass,zunderwood@example.com,Asia,Optimized mission-critical moratorium,Home & Garden,2,0.2,425.41
48bfb602-bcd2-48eb-bf55-60cd3ab7127e,2025-06-30 04:53:27.000000,Laura Barnett,anthony52@example.com,Europe,Decentralized grid-enabled service-desk,Electronics,3,0.0,1057.22
a9de5b26-08ff-4ab0-8750-72d62bacf712,2025-04-24 03:47:05.000000,Eric Sanders,wking@example.net,Latin America,Cross-platform asymmetric leverage,Electronics,7,0.1,1291.22
dd3ee854-5340-44b0-aa4f-4a80dc412176,2025-07-25 19:56:58.000000,Victor Brown,daniellegonzales@example.org,Asia,,,5,0.2,0.0
8a63b93c-def3-406a-b998-63f27799fddb,2026-07-17 02:47:24.000000,Sarah Davis,brettbennett@example.net,Latin America,Optimized mission-critical moratorium,Home & Garden,9,0.0,2316.13
2296e3f1-71e1-4b9f-8c6d-768e45bcf3ba,2026-01-13 20:24:53.000000,Victor Brown,daniellegonzales@example.org,Asia,Innovative eco-centric open architecture,Toys,4,0.2,731.2
98fb4727-9740-4212-ad52-45f48a0ec018,2025-07-10 14:22:05.000000,James Chapman,cameronwilliams@example.com,Middle East,Robust secondary infrastructure,Toys,1,0.2,151.23
e096521e-a2c7-43d4-bfb8-abb9a18c5492,2025-10-02 01:12:53.000000,Daniel Miller,ramseysarah@example.com,North America,Cross-platform uniform flexibility,Toys,4,0.2,712.8
a3b81f92-a3c9-4c6a-8601-76336f5aad52,2025-09-08 14:14:21.000000,Chad Smith,hbenton@example.net,Asia,Front-line encompassing leverage,Toys,4,0.0,404.35
7b4d8646-58e0-458f-a8af-301f4f45f6f7,2025-09-13 03:55:29.000000,Stephen Fox,mayokimberly@example.com,North America,Cross-platform fresh-thinking hierarchy,Toys,10,0.3,3070.08
